day,model1,model2,model3,ensemble
1,25.59781992,21.6670541,19.28887613,22.18458339
2,24.8161936,21.74432287,21.32518896,22.62856848
3,23.25087061,21.74483327,22.17979877,22.39183422
4,22.55197866,21.7426665,22.51494253,22.26986256
5,22.11135485,21.74224425,22.87484571,22.24281494
6,19.04708783,21.74217463,23.1316526,21.30697169
7,20.09149832,21.74216885,23.3020254,21.71189752
8,24.7849512,21.74217036,23.42452201,23.31721453
9,26.05158707,21.74217111,23.51128581,23.768348
10,17.48131931,21.74217133,23.57190812,20.93179958
11,10.75441626,21.74217133,23.61446853,18.70368537
12,21.34861137,21.74217138,23.64433891,22.24504055
13,21.42421823,21.74217138,23.66526541,22.27721834
14,20.96271745,21.74217138,23.67992511,22.12827132
15,23.69291981,21.74217138,23.69019218,23.04176112
16,19.32470088,21.74217138,23.69738202,21.58808476
17,6.254154563,21.74217138,23.70241594,17.23291396
18,19.17961351,21.74217138,23.70594043,21.5425751
19,19.26675672,21.74217138,23.70840704,21.57244505
20,17.21952149,21.74217138,23.71013385,20.89060891
21,28.19236779,21.74217138,23.71134296,24.54862738
22,24.09096094,21.74217138,23.71218908,23.1817738
23,12.75550717,21.74217138,23.7127811,19.40348655
24,25.76686803,21.74217138,23.71319595,23.74074512
25,17.53604688,21.74217138,23.71348591,20.99723472
26,16.7142116,21.74217138,23.71368901,20.72335733
27,20.48587042,21.74217138,23.71383119,21.98062433
28,26.39263561,21.74217138,23.71393101,23.94957933
29,20.77424316,21.74217138,23.71400058,22.07680504
30,15.19419912,21.74217138,23.71404941,20.21680664
31,25.75801015,21.74217138,23.71408355,23.73808836
32,15.94534078,21.74217138,23.71410732,20.46720649
33,22.70835789,21.74217138,23.71412417,22.72155115
34,24.44841414,21.74217138,23.71413541,23.30157364
35,17.84766495,21.74217138,23.71414405,21.10132679
36,20.34934978,21.74217138,23.71414967,21.93522361
37,24.45921705,21.74217138,23.71415356,23.30518066
38,24.10293493,21.74217138,23.71415658,23.18642097
39,13.66539228,21.74217138,23.71415831,19.70724066
40,24.53691252,21.74217138,23.71415961,23.33108117
41,18.34765809,21.74217138,23.7141609,21.26799679
42,20.34516726,21.74217138,23.71416134,21.93383333
43,23.85394232,21.74217138,23.71416177,23.10342516
44,24.40706759,21.74217138,23.71416177,23.28780025
45,27.08843306,21.74217138,23.7141622,24.18158888
46,19.68303606,21.74217138,23.7141622,21.71312321
47,11.44490796,21.74217138,23.7141622,18.96708051
48,16.682044,21.74217138,23.7141622,20.71279253
49,19.51947303,21.74217138,23.7141622,21.6586022
50,26.29386973,21.74217138,23.7141622,23.91673444
51,22.18291662,21.74217138,23.71416263,22.54641688
52,19.28415874,21.74217138,23.7141622,21.58016411
53,22.20908512,21.74217138,23.7141622,22.55513957
54,26.6324335,21.74217138,23.71416263,24.02958917
55,25.64882985,21.74217138,23.7141622,23.70172114
56,15.91181585,21.74217138,23.7141622,20.45604981
57,14.34562254,21.74217138,23.7141622,19.93398537
58,23.27653546,21.74217138,23.7141622,22.91095635
59,20.81365829,21.74217138,23.7141622,22.08999729
60,17.2012189,21.74217138,23.7141622,20.88585083
61,23.47688776,21.74217138,23.71416263,22.97774059
62,21.36771373,21.74217138,23.71416263,22.27468258
63,13.05510026,21.74217138,23.71416263,19.50381142
64,16.87220918,21.74217138,23.71416263,20.77618106
65,16.819644,21.74217138,23.71416263,20.75865934
66,19.46614601,21.74217138,23.71416263,21.64082667
67,25.4552063,21.74217138,23.71416263,23.63718011
68,16.50682589,21.74217138,23.71416263,20.65438664
69,11.31446755,21.74217138,23.71416263,18.92360052
70,15.36734903,21.74217138,23.71416263,20.27456101
71,20.59891519,21.74217138,23.71416263,22.0184164
72,24.72176289,21.74217138,23.71416263,23.39269897
73,22.82941107,21.74217138,23.71416263,22.76191503
74,20.49643976,21.74217138,23.71416263,21.98425793
75,20.27143165,21.74217138,23.71416263,21.90925522
76,15.73318043,21.74217138,23.71416263,20.39650482
77,20.85147258,21.74217138,23.71416263,22.1026022
78,23.91721598,21.74217138,23.71416263,23.12451666
79,20.19091402,21.74217138,23.71416263,21.88241601
80,23.4467944,21.74217138,23.71416263,22.96770947
81,16.05497915,21.74217138,23.71416263,20.50377105
82,13.50700751,21.74217138,23.71416263,19.65444717
83,23.31453729,21.74217138,23.71416263,22.92362377
84,13.62848893,21.74217138,23.71416263,19.69494098
85,10.1111533,21.74217138,23.71416263,18.52249577
86,15.37506261,21.74217138,23.71416263,20.27713221
87,17.08654618,21.74217138,23.71416263,20.84762673
88,19.45748605,21.74217138,23.71416263,21.63794002
89,26.4253369,21.74217138,23.71416263,23.96055697
90,23.22273914,21.74217138,23.71416263,22.89302438
